ISO_CODE,ISO_NAME,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
COK,Cook Islands (the),0.064044,0.062707,0.063652,0.062047,0.063291,0.069602,0.0637,0.06631,0.072706,0.075688,0.076611,0.078965,0.080889,0.080332,0.080137,0.063995,0.058593,0.065704,0.060544,0.058552,0.477542,0.63836,0.845293,0.871167,0.923978,0.650613,1.791373,1.35308,1.261542,1.518667,1.525572,1.32984,0.853422,0.830342,0.906102,1.201514,1.562103,1.323431,1.510082,1.470901,1.548478,1.569522,1.564303,1.725844,1.851028,2.002733,2.146793
CRI,Costa Rica,0.763444,0.744791,0.814876,0.903644,0.865071,0.928094,0.934726,1.14316,1.202883,1.17571,1.031156,0.929347,0.766137,0.755928,0.768866,0.788336,0.801452,0.827374,0.85198,0.937065,0.928259,0.978845,1.288065,1.265441,1.43107,1.401079,1.277468,1.241615,1.347694,1.319634,1.281693,1.361629,1.360621,1.451589,1.479988,1.546207,1.575836,1.740883,1.700309,1.612546,1.580444,1.610305,1.622596,1.662029,1.652546,1.694907,1.713763
CIV,Cote d'Ivoire,0.497092,0.484649,0.514506,0.50542,0.494295,0.512593,0.559736,0.529386,0.585622,0.522537,0.475196,0.416246,0.379052,0.428231,0.365947,0.323122,0.319288,0.298094,0.284663,0.264591,0.232389,0.232102,0.222049,0.228045,0.231266,0.244441,0.296138,0.351058,0.330099,0.431431,0.397211,0.391665,0.406212,0.314257,0.32708,0.344157,0.337943,0.323525,0.354639,0.328193,0.353017,0.33497,0.369184,0.388267,0.414401,0.430369,0.424325
HRV,Croatia,4.832526,4.717783,4.81689,5.077142,5.248269,5.296526,5.188168,5.261185,5.442976,5.923077,5.29861,5.0649,5.284554,5.502985,5.209654,5.383618,5.779889,5.44419,5.923841,6.008622,5.26166,3.757845,3.478276,3.600797,3.48479,3.632409,3.651766,4.077024,4.373022,4.448341,4.364039,4.632797,4.824803,5.146945,5.174558,5.206797,5.260781,5.665316,5.374846,5.018392,4.818823,4.775065,4.50956,4.416073,4.301766,4.443004,4.610022
CUB,Cuba,2.482205,2.448228,2.356465,2.510928,2.683719,2.720561,2.849239,3.075654,3.267002,3.298433,3.363674,3.371731,3.335263,3.584715,3.7525,3.472424,3.498636,3.62917,3.770078,3.872274,3.483351,2.661653,2.127793,1.929509,2.049136,2.170674,2.331706,2.547683,2.483485,2.555314,2.566536,2.472015,2.360903,2.293859,2.230116,2.304434,2.347503,2.429747,2.29569,2.946895,2.721905,2.573464,2.623612,2.527876,2.529116,2.599608,2.642532
ANT,Curacao,100.802,100.1069,96.01177,104.7542,94.15786,67.97792,72.3258,73.21934,62.22581,62.04247,58.63232,54.33691,48.96386,45.52463,44.6029,29.99324,28.64569,26.61153,23.37259,20.11203,18.13698,18.94237,19.74787,16.2112,18.3776,18.55131,19.0132,37.94163,40.08452,40.81908,43.11722,44.45388,42.87083,43.28378,45.20272,47.22526,45.50028,48.34198,46.11236,41.98044,33.37975,42.91356,42.28969,40.56067,43.10662,44.70279,45.0956
CYP,Cyprus,3.507082,3.492914,4.229422,4.358557,3.300666,3.322715,3.992421,4.188248,4.308605,4.55096,4.768191,4.539286,4.568847,4.533132,4.581922,4.463141,4.905535,5.605537,5.581369,5.78445,5.896483,6.487266,6.665693,6.7351,6.815984,6.540234,6.740473,6.694789,7.069672,7.19664,7.424202,7.134817,7.203274,7.826364,7.630675,7.628464,7.522225,7.783948,7.79649,7.477661,7.162441,6.844188,6.366904,5.508696,5.584274,5.71152,5.873869
CZE,Czechia,19.29095,19.2463,19.1492,18.82541,17.07194,17.60795,18.11976,18.96201,18.16588,19.1282,18.4009,18.2828,18.4243,18.47789,18.89345,18.64441,18.51994,18.55888,18.13697,17.32472,16.3906,14.84166,13.68257,13.27185,12.65273,12.7028,12.85229,12.74473,12.19706,11.50715,12.60806,12.55646,12.01279,12.5035,12.645,12.21606,12.39947,12.42066,11.92699,11.02154,11.43943,11.2025,11.00406,10.58776,10.17882,10.40523,10.54957
DNK,Denmark,12.60375,11.67024,12.01314,11.75623,10.4452,10.85817,11.94252,12.2354,12.19351,12.84739,12.74326,10.71651,11.18908,10.5008,10.82624,12.37782,12.50354,12.10241,11.34069,10.21184,10.32008,12.3582,11.20326,11.60232,12.32399,11.65542,14.15644,12.21505,11.42007,10.81033,9.995957,10.25863,10.15921,11.13438,10.08292,9.401622,10.82033,9.888667,9.238304,8.764067,8.707177,7.738408,7.461951,7.780222,6.974226,6.347604,6.65633
DJI,Djibouti,0.614143,0.579093,0.763426,0.646369,0.652584,0.711539,2.08822,1.741513,1.530791,2.074292,1.912223,1.820795,1.57677,1.253025,0.926928,0.923249,0.869608,1.126385,0.963438,1.70648,1.364966,1.583788,1.29571,1.255028,0.764982,0.807028,0.796937,0.837829,0.888453,0.869544,1.033671,1.118064,1.104218,1.153666,1.163128,1.224966,1.313509,1.385132,1.434009,1.438483,1.500062,1.543494,1.522132,1.557164,1.663756,1.580682,1.601753
